#Chr	New	Old
chr1	chr1_mat_hsa1	chr1
chr3	chr3_mat_hsa4_random_utig4-37	chr4
chr3	chr3_mat_hsa4_random_utig4-38	chr4
chr3	chr3_mat_hsa4_random_utig4-39	chr4
chr3	chr3_mat_hsa4_random_utig4-40	chr4
chr3	chr3_mat_hsa4_random_utig4-41	chr4
chr3	chr3_mat_hsa4_random_utig4-634	chr4
chr3	chr3_mat_hsa4_random_utig4-853	chr4
chr3	chr3_mat_hsa4_random_utig4-855	chr4
chr3	chr3_mat_hsa4_random_utig4-865	chr4
chr3	chr3_mat_hsa4_random_utig4-905	chr4
chr3	chr3_mat_hsa4_random_utig4-907	chr4
chr3	chr3_mat_hsa4_random_utig4-911	chr4
chr3	chr3_mat_hsa4_random_utig4-913	chr4
chr3	chr3_mat_hsa4_random_utig4-939	chr4
chr3	chr3_mat_hsa4_random_utig4-940	chr4
chr3	chr3_mat_hsa4_random_utig4-967	chr4
chr3	chr3_mat_hsa4_random_utig4-968	chr4
chr3	chr3_mat_hsa4_random_utig4-971	chr4
chr16	chr16_mat_hsa15_random_utig4-2752	chr15
chr16	chr16_mat_hsa15_random_utig4-369	chr15
chr16	chr16_mat_hsa15_random_utig4-2343	chr15
chr16	chr16_mat_hsa15_random_utig4-2442	chr15
chr16	chr16_mat_hsa15_random_utig4-2184	chr15
chr16	chr16_mat_hsa15_random_utig4-2186	chr15
chr16	chr16_mat_hsa15_random_utig4-2609	chr15
chr16	chr16_mat_hsa15_random_utig4-1056	chr15
chr16	chr16_mat_hsa15_random_utig4-1333	chr15
chr16	chr16_mat_hsa15_random_utig4-1336	chr15
chr16	chr16_mat_hsa15_random_utig4-1597	chr15
chr16	chr16_mat_hsa15_random_utig4-1598	chr15
chr16	chr16_mat_hsa15_random_utig4-1599	chr15
chr16	chr16_mat_hsa15_random_utig4-1600	chr15
chr16	chr16_mat_hsa15_random_utig4-1627	chr15
chr16	chr16_mat_hsa15_random_utig4-1632	chr15
chr16	chr16_mat_hsa15_random_utig4-1637	chr15
chr16	chr16_mat_hsa15_random_utig4-1815	chr15
chr16	chr16_mat_hsa15_random_utig4-1816	chr15
chr16	chr16_mat_hsa15_random_utig4-1817	chr15
chr16	chr16_mat_hsa15_random_utig4-1818	chr15
chr16	chr16_mat_hsa15_random_utig4-1819	chr15
chr16	chr16_mat_hsa15_random_utig4-1849	chr15
chr16	chr16_mat_hsa15_random_utig4-1850	chr15
chr16	chr16_mat_hsa15_random_utig4-1851	chr15
chr16	chr16_mat_hsa15_random_utig4-1852	chr15
chr16	chr16_mat_hsa15_random_utig4-1853	chr15
chr16	chr16_mat_hsa15_random_utig4-1885	chr15
chr16	chr16_mat_hsa15_random_utig4-1888	chr15
chr16	chr16_mat_hsa15_random_utig4-1890	chr15
chr16	chr16_mat_hsa15_random_utig4-1891	chr15
chr16	chr16_mat_hsa15_random_utig4-1915	chr15
chr16	chr16_mat_hsa15_random_utig4-1916	chr15
chr16	chr16_mat_hsa15_random_utig4-1917	chr15
chr16	chr16_mat_hsa15_random_utig4-1931	chr15
chr16	chr16_mat_hsa15_random_utig4-1932	chr15
chr16	chr16_mat_hsa15_random_utig4-1933	chr15
chr16	chr16_mat_hsa15_random_utig4-1962	chr15
chr16	chr16_mat_hsa15_random_utig4-2028	chr15
chr16	chr16_mat_hsa15_random_utig4-2056	chr15
chr16	chr16_mat_hsa15_random_utig4-2058	chr15
chr16	chr16_mat_hsa15_random_utig4-2059	chr15
chr16	chr16_mat_hsa15_random_utig4-2060	chr15
chr16	chr16_mat_hsa15_random_utig4-2061	chr15
chr16	chr16_mat_hsa15_random_utig4-2062	chr15
chr16	chr16_mat_hsa15_random_utig4-2094	chr15
chr16	chr16_mat_hsa15_random_utig4-2095	chr15
chr16	chr16_mat_hsa15_random_utig4-2096	chr15
chr16	chr16_mat_hsa15_random_utig4-2097	chr15
chr16	chr16_mat_hsa15_random_utig4-2107	chr15
chr16	chr16_mat_hsa15_random_utig4-2108	chr15
chr16	chr16_mat_hsa15_random_utig4-2109	chr15
chr16	chr16_mat_hsa15_random_utig4-2110	chr15
chr16	chr16_mat_hsa15_random_utig4-2111	chr15
chr16	chr16_mat_hsa15_random_utig4-2112	chr15
chr16	chr16_mat_hsa15_random_utig4-2113	chr15
chr16	chr16_mat_hsa15_random_utig4-2126	chr15
chr16	chr16_mat_hsa15_random_utig4-2144	chr15
chr16	chr16_mat_hsa15_random_utig4-2145	chr15
chr16	chr16_mat_hsa15_random_utig4-2146	chr15
chr16	chr16_mat_hsa15_random_utig4-2161	chr15
chr16	chr16_mat_hsa15_random_utig4-2179	chr15
chr16	chr16_mat_hsa15_random_utig4-2181	chr15
chr16	chr16_mat_hsa15_random_utig4-2182	chr15
chr16	chr16_mat_hsa15_random_utig4-2207	chr15
chr16	chr16_mat_hsa15_random_utig4-2209	chr15
chr16	chr16_mat_hsa15_random_utig4-2210	chr15
chr16	chr16_mat_hsa15_random_utig4-2211	chr15
chr16	chr16_mat_hsa15_random_utig4-2212	chr15
chr16	chr16_mat_hsa15_random_utig4-2213	chr15
chr16	chr16_mat_hsa15_random_utig4-2229	chr15
chr16	chr16_mat_hsa15_random_utig4-2230	chr15
chr16	chr16_mat_hsa15_random_utig4-2231	chr15
chr16	chr16_mat_hsa15_random_utig4-2232	chr15
chr16	chr16_mat_hsa15_random_utig4-2233	chr15
chr16	chr16_mat_hsa15_random_utig4-2234	chr15
chr16	chr16_mat_hsa15_random_utig4-2235	chr15
chr16	chr16_mat_hsa15_random_utig4-2236	chr15
chr16	chr16_mat_hsa15_random_utig4-2237	chr15
chr16	chr16_mat_hsa15_random_utig4-2238	chr15
chr16	chr16_mat_hsa15_random_utig4-2239	chr15
chr16	chr16_mat_hsa15_random_utig4-2240	chr15
chr16	chr16_mat_hsa15_random_utig4-2241	chr15
chr16	chr16_mat_hsa15_random_utig4-2266	chr15
chr16	chr16_mat_hsa15_random_utig4-2267	chr15
chr16	chr16_mat_hsa15_random_utig4-2268	chr15
chr16	chr16_mat_hsa15_random_utig4-2269	chr15
chr16	chr16_mat_hsa15_random_utig4-2270	chr15
chr16	chr16_mat_hsa15_random_utig4-2318	chr15
chr16	chr16_mat_hsa15_random_utig4-2319	chr15
chr16	chr16_mat_hsa15_random_utig4-2320	chr15
chr16	chr16_mat_hsa15_random_utig4-2344	chr15
chr16	chr16_mat_hsa15_random_utig4-2345	chr15
chr16	chr16_mat_hsa15_random_utig4-2346	chr15
chr16	chr16_mat_hsa15_random_utig4-2347	chr15
chr16	chr16_mat_hsa15_random_utig4-2355	chr15
chr16	chr16_mat_hsa15_random_utig4-2356	chr15
chr16	chr16_mat_hsa15_random_utig4-2357	chr15
chr16	chr16_mat_hsa15_random_utig4-2358	chr15
chr16	chr16_mat_hsa15_random_utig4-2359	chr15
chr16	chr16_mat_hsa15_random_utig4-2404	chr15
chr16	chr16_mat_hsa15_random_utig4-2405	chr15
chr16	chr16_mat_hsa15_random_utig4-2443	chr15
chr16	chr16_mat_hsa15_random_utig4-2445	chr15
chr16	chr16_mat_hsa15_random_utig4-2446	chr15
chr16	chr16_mat_hsa15_random_utig4-2447	chr15
chr16	chr16_mat_hsa15_random_utig4-2448	chr15
chr16	chr16_mat_hsa15_random_utig4-2484	chr15
chr16	chr16_mat_hsa15_random_utig4-2596	chr15
chr16	chr16_mat_hsa15_random_utig4-2597	chr15
chr16	chr16_mat_hsa15_random_utig4-2611	chr15
chr16	chr16_mat_hsa15_random_utig4-2612	chr15
chr16	chr16_mat_hsa15_random_utig4-2613	chr15
chr16	chr16_mat_hsa15_random_utig4-2621	chr15
chr16	chr16_mat_hsa15_random_utig4-2622	chr15
chr16	chr16_mat_hsa15_random_utig4-2623	chr15
chr16	chr16_mat_hsa15_random_utig4-2624	chr15
chr16	chr16_mat_hsa15_random_utig4-2625	chr15
chr16	chr16_mat_hsa15_random_utig4-2626	chr15
chr16	chr16_mat_hsa15_random_utig4-2627	chr15
chr16	chr16_mat_hsa15_random_utig4-2628	chr15
chr16	chr16_mat_hsa15_random_utig4-2649	chr15
chr16	chr16_mat_hsa15_random_utig4-2651	chr15
chr16	chr16_mat_hsa15_random_utig4-2704	chr15
chr16	chr16_mat_hsa15_random_utig4-2713	chr15
chr16	chr16_mat_hsa15_random_utig4-2714	chr15
chr16	chr16_mat_hsa15_random_utig4-2715	chr15
chr16	chr16_mat_hsa15_random_utig4-2745	chr15
chr16	chr16_mat_hsa15_random_utig4-2748	chr15
chr16	chr16_mat_hsa15_random_utig4-2749	chr15
chr16	chr16_mat_hsa15_random_utig4-2750	chr15
chr16	chr16_mat_hsa15_random_utig4-2751	chr15
chr16	chr16_mat_hsa15_random_utig4-2754	chr15
chr16	chr16_mat_hsa15_random_utig4-2755	chr15
chr16	chr16_mat_hsa15_random_utig4-2756	chr15
chr16	chr16_mat_hsa15_random_utig4-2761	chr15
chr16	chr16_mat_hsa15_random_utig4-2770	chr15
chr16	chr16_mat_hsa15_random_utig4-2771	chr15
chr16	chr16_mat_hsa15_random_utig4-2778	chr15
chr16	chr16_mat_hsa15_random_utig4-2779	chr15
chr16	chr16_mat_hsa15_random_utig4-2780	chr15
chr16	chr16_mat_hsa15_random_utig4-2972	chr15
chr16	chr16_mat_hsa15_random_utig4-2973	chr15
chr16	chr16_mat_hsa15_random_utig4-2985	chr15
chr16	chr16_mat_hsa15_random_utig4-3016	chr15
chr16	chr16_mat_hsa15_random_utig4-370	chr15
chr16	chr16_mat_hsa15_random_utig4-371	chr15
chr16	chr16_mat_hsa15_random_utig4-884	chr15
chr16	chr16_mat_hsa15_random_utig4-885	chr15
chr16	chr16_mat_hsa15_random_utig4-887	chr15
chr16	chr16_mat_hsa15_random_utig4-888	chr15
